"Distance*$Poles/(3.14159265358979*($DiaGap []","FFT Distance*$Poles/(3.14159265358979*($DiaGap []","FFT Flux_Lines [] -  Time='0.02s'"
0,0,9.22811370711951E-08
0.0500000413709692,0.0500000413709692,0.212059053482994
0.100000082741938,0.100000082741938,1.14473443265376E-07
0.150000124112908,0.150000124112908,0.0047217974323883
0.200000165483877,0.200000165483877,7.3475354138949E-08
0.250000206854846,0.250000206854846,0.000141652622361022
0.300000248225815,0.300000248225815,9.80701118599178E-08
0.350000289596785,0.350000289596785,0.000953516673975327
0.400000330967754,0.400000330967754,5.76346261944635E-08
0.450000372338723,0.450000372338723,0.000995726900757321
0.500000413709692,0.500000413709692,7.80408680300456E-08
0.550000455080662,0.550000455080662,0.000491179261946146
0.600000496451631,0.600000496451631,2.31178413957161E-08
0.6500005378226,0.6500005378226,7.77625769180335E-05
0.700000579193569,0.700000579193569,3.89698248575757E-08
0.750000620564538,0.750000620564538,0.000111468745514926
0.800000661935508,0.800000661935508,6.04305840180246E-08
0.850000703306477,0.850000703306477,0.000132007582485655
0.900000744677446,0.900000744677446,5.25942736231521E-08
0.950000786048415,0.950000786048415,7.75780332109396E-05
1.00000082741938,1.00000082741938,5.56746685534938E-08
1.05000086879035,1.05000086879035,3.26857390494425E-05
1.10000091016132,1.10000091016132,1.33355409285462E-07
1.15000095153229,1.15000095153229,7.01505835802011E-05
1.20000099290326,1.20000099290326,1.50056256982606E-07
1.25000103427423,1.25000103427423,4.01307777159565E-05
1.3000010756452,1.3000010756452,4.18244044537832E-08
1.35000111701617,1.35000111701617,9.11610492254061E-06
1.40000115838714,1.40000115838714,6.76816120511032E-08
1.45000119975811,1.45000119975811,0.000428561652690695
1.50000124112908,1.50000124112908,7.72316823759332E-08
1.55000128250005,1.55000128250005,0.000405067802432237
1.60000132387102,1.60000132387102,7.51410632911553E-08
1.65000136524198,1.65000136524198,1.82664750227562E-05
1.70000140661295,1.70000140661295,1.04557757029818E-07
1.75000144798392,1.75000144798392,7.22763530843968E-06
1.80000148935489,1.80000148935489,7.65278939218325E-08
1.85000153072586,1.85000153072586,6.42628970748805E-06
1.90000157209683,1.90000157209683,8.81565262774803E-08
1.9500016134678,1.9500016134678,7.61491105245739E-06
2.00000165483877,2.00000165483877,1.78737925400114E-07
2.05000169620974,2.05000169620974,5.69391851874712E-07
2.10000173758071,2.10000173758071,8.19623101778504E-08
2.15000177895168,2.15000177895168,1.31348204670624E-06
2.20000182032265,2.20000182032265,9.39993244635514E-08
2.25000186169362,2.25000186169362,6.58898462630771E-06
2.30000190306458,2.30000190306458,5.77778908775588E-08
2.35000194443555,2.35000194443555,5.40037147787624E-06
2.40000198580652,2.40000198580652,5.4035724528248E-08
2.45000202717749,2.45000202717749,3.38835445719057E-06
2.50000206854846,2.50000206854846,8.26932461859993E-08
2.55000210991943,2.55000210991943,4.50707147198659E-06
2.6000021512904,2.6000021512904,7.09409759670292E-08
2.65000219266137,2.65000219266137,1.47685150693002E-06
2.70000223403234,2.70000223403234,2.02046442657407E-07
2.75000227540331,2.75000227540331,5.70817080462598E-07
2.80000231677428,2.80000231677428,8.37339594969732E-08
2.85000235814525,2.85000235814525,5.43902152249711E-06
2.90000239951622,2.90000239951622,5.74053887710848E-08
2.95000244088718,2.95000244088718,7.64758408518646E-05
3.00000248225815,3.00000248225815,1.72813757866435E-07
3.05000252362912,3.05000252362912,6.96299630864928E-05
3.10000256500009,3.10000256500009,1.1071513281462E-07
3.15000260637106,3.15000260637106,5.79841106951682E-06
3.20000264774203,3.20000264774203,4.26703785132523E-08
3.250002689113,3.250002689113,1.36127728922683E-06
3.30000273048397,3.30000273048397,6.50863367674778E-08
3.35000277185494,3.35000277185494,7.03680992775994E-07
3.40000281322591,3.40000281322591,9.40254386381038E-08
3.45000285459688,3.45000285459688,3.56136532194983E-06
3.50000289596785,3.50000289596785,3.87325830593135E-08
3.55000293733882,3.55000293733882,5.6418742835084E-07
3.60000297870978,3.60000297870978,3.96724552218996E-08
3.65000302008075,3.65000302008075,6.55330976625952E-07
3.70000306145172,3.70000306145172,8.40656827078046E-08
3.75000310282269,3.75000310282269,2.82294060976673E-08
3.80000314419366,3.80000314419366,8.79324763250951E-08
3.85000318556463,3.85000318556463,7.52372649922361E-07
3.9000032269356,3.9000032269356,1.20536188709109E-07
3.95000326830657,3.95000326830657,3.90387073616284E-07
4.00000330967754,4.00000330967754,1.60120451238336E-07
4.05000335104851,4.05000335104851,3.18365781989416E-07
4.10000339241948,4.10000339241948,1.35388133323629E-07
4.15000343379045,4.15000343379045,4.61485494810553E-07
4.20000347516142,4.20000347516142,3.616036013225E-08
4.25000351653238,4.25000351653238,8.56520059665684E-08
4.30000355790335,4.30000355790335,1.31172585354322E-07
4.35000359927432,4.35000359927432,1.25280658910189E-06
4.40000364064529,4.40000364064529,7.844465497201E-08
4.45000368201626,4.45000368201626,2.41666096705302E-06
4.50000372338723,4.50000372338723,1.33763290637243E-07
4.5500037647582,4.5500037647582,1.40529247920535E-06
4.60000380612917,4.60000380612917,1.42285493151368E-07
4.65000384750014,4.65000384750014,1.76095315794988E-06
4.70000388887111,4.70000388887111,6.99174073171787E-08
4.75000393024208,4.75000393024208,6.93067726502068E-07
4.80000397161305,4.80000397161305,6.13873677850433E-09
4.85000401298401,4.85000401298401,1.70732838793633E-07
4.90000405435498,4.90000405435498,2.63887615303228E-08
4.95000409572595,4.95000409572595,1.46170318616457E-07
5.00000413709692,5.00000413709692,1.8835467686451E-07
5.05000417846789,5.05000417846789,1.2416313977739E-07
5.10000421983886,5.10000421983886,1.5133142730709E-08
5.15000426120983,5.15000426120983,1.67904416667316E-07
5.2000043025808,5.2000043025808,2.03413992144162E-08
5.25000434395177,5.25000434395177,1.66104234391099E-07
5.30000438532274,5.30000438532274,3.00958152440984E-08
5.35000442669371,5.35000442669371,1.53053414210932E-07
5.40000446806468,5.40000446806468,8.51448707798043E-08
5.45000450943565,5.45000450943565,1.18226141271825E-07
5.50000455080662,5.50000455080662,1.61754928558883E-07
5.55000459217758,5.55000459217758,8.41065393481782E-08
5.60000463354855,5.60000463354855,4.44356652690514E-08
5.65000467491952,5.65000467491952,5.38878674953353E-07
5.70000471629049,5.70000471629049,9.46737862047818E-08
5.75000475766146,5.75000475766146,5.31661798234204E-07
5.80000479903243,5.80000479903243,6.0095800775511E-08
5.8500048404034,5.8500048404034,5.23464431366013E-08
5.90000488177437,5.90000488177437,1.16883055965072E-07
5.95000492314534,5.95000492314534,3.16640087442688E-06
6.00000496451631,6.00000496451631,1.23084473732792E-07
6.05000500588728,6.05000500588728,3.0328550877758E-06
6.10000504725825,6.10000504725825,1.08001811188186E-07
6.15000508862922,6.15000508862922,2.96361994461271E-07
6.20000513000018,6.20000513000018,4.04332488290478E-08
6.25000517137115,6.25000517137115,3.43776192669986E-08
6.30000521274212,6.30000521274212,1.02754950940457E-07
6.35000525411309,6.35000525411309,2.10465635282408E-07
6.40000529548406,6.40000529548406,6.55522114888114E-08
6.45000533685503,6.45000533685503,1.11876843776174E-07
6.500005378226,6.500005378226,7.44133596481952E-08
6.55000541959697,6.55000541959697,3.85939791161892E-08
6.60000546096794,6.60000546096794,2.21761262137641E-08
6.65000550233891,6.65000550233891,1.50875824042372E-07
6.70000554370988,6.70000554370988,8.42739529832995E-08
6.75000558508085,6.75000558508085,1.54686162956698E-07
6.80000562645182,6.80000562645182,7.54380839381796E-08
6.85000566782278,6.85000566782278,8.67851179044245E-08
6.90000570919375,6.90000570919375,8.76266056639132E-08
6.95000575056472,6.95000575056472,2.69364561516823E-07
7.00000579193569,7.00000579193569,1.58457319336724E-07
7.05000583330666,7.05000583330666,1.37836423133683E-07
7.10000587467763,7.10000587467763,3.09631110551591E-08
7.1500059160486,7.1500059160486,9.8473228962066E-08
7.20000595741957,7.20000595741957,9.5479541774812E-08
7.25000599879054,7.25000599879054,5.26659766407588E-08
7.30000604016151,7.30000604016151,3.79593441590889E-08
7.35000608153248,7.35000608153248,1.08730051928545E-07
7.40000612290345,7.40000612290345,1.30768822685699E-08
7.45000616427442,7.45000616427442,6.10994763899939E-07
7.50000620564538,7.50000620564538,5.79397328245649E-08
7.55000624701635,7.55000624701635,6.85743498500788E-07
7.60000628838732,7.60000628838732,6.11678205843756E-08
7.65000632975829,7.65000632975829,9.57766604964869E-08
7.70000637112926,7.70000637112926,7.30133403477617E-08
7.75000641250023,7.75000641250023,5.06812573133686E-08
7.8000064538712,7.8000064538712,6.40538602520696E-08
7.85000649524217,7.85000649524217,1.38594772001732E-07
7.90000653661314,7.90000653661314,8.27007027532314E-08
7.95000657798411,7.95000657798411,2.30912856496108E-07
8.00000661935508,8.00000661935508,8.69466380866338E-08
8.05000666072605,8.05000666072605,2.02196142589374E-07
8.10000670209702,8.10000670209702,2.78394642336322E-08
8.15000674346799,8.15000674346799,2.34359709907871E-07
8.20000678483895,8.20000678483895,1.49017744769757E-07
8.25000682620992,8.25000682620992,5.79488590820962E-08
8.30000686758089,8.30000686758089,9.87037857261041E-08
8.35000690895186,8.35000690895186,9.56468888045878E-08
8.40000695032283,8.40000695032283,6.55444044285675E-08
8.4500069916938,8.4500069916938,6.83941554779157E-08
8.50000703306477,8.50000703306477,9.90938313160627E-08
8.55000707443574,8.55000707443574,8.43440114532916E-08
8.60000711580671,8.60000711580671,7.14565575716112E-08
8.65000715717768,8.65000715717768,7.50925283619652E-08
8.70000719854865,8.70000719854865,4.2249068858622E-08
8.75000723991961,8.75000723991961,3.65942630747588E-08
8.80000728129058,8.80000728129058,1.18329590819164E-08
8.85000732266155,8.85000732266155,1.15326729694381E-07
8.90000736403252,8.90000736403252,1.6819622942175E-07
8.95000740540349,8.95000740540349,1.45929655627745E-07
9.00000744677446,9.00000744677446,6.48653159162678E-08
9.05000748814543,9.05000748814543,4.8896470911759E-07
9.1000075295164,9.1000075295164,4.85728379129038E-08
9.15000757088737,9.15000757088737,1.39566107789288E-07
9.20000761225834,9.20000761225834,1.66453787600884E-07
9.25000765362931,9.25000765362931,1.27969442639441E-07
9.30000769500028,9.30000769500028,4.84328206658983E-08
9.35000773637125,9.35000773637125,6.49732699953114E-08
9.40000777774222,9.40000777774222,5.54220113568837E-08
9.45000781911318,9.45000781911318,8.91245776494061E-08
9.50000786048415,9.50000786048415,3.6692495041858E-08
9.55000790185512,9.55000790185512,7.71955953189094E-08
9.60000794322609,9.60000794322609,7.48717273194903E-08
9.65000798459706,9.65000798459706,3.29396759766445E-08
9.70000802596803,9.70000802596803,5.82845267447561E-08
9.750008067339,9.750008067339,7.16140186654463E-09
9.80000810870997,9.80000810870997,9.08642521915561E-08
9.85000815008094,9.85000815008094,1.21809516254329E-07
9.90000819145191,9.90000819145191,1.60855099595691E-07
9.95000823282288,9.95000823282288,2.07044506667407E-07
10.0000082741938,10.0000082741938,1.08821765499011E-07
10.0500083155648,10.0500083155648,1.4769811805693E-07
10.1000083569358,10.1000083569358,1.01732299071637E-07
10.1500083983068,10.1500083983068,4.74576723345189E-08
10.2000084396777,10.2000084396777,8.35188131098156E-08
10.2500084810487,10.2500084810487,1.0834139151371E-07
10.3000085224197,10.3000085224197,1.93012848984521E-07
10.3500085637906,10.3500085637906,3.55720232819765E-07
10.4000086051616,10.4000086051616,1.72271580501345E-07
10.4500086465326,10.4500086465326,2.46207769257273E-07
10.5000086879035,10.5000086879035,5.71866760378995E-08
10.5500087292745,10.5500087292745,2.53534628052474E-07
10.6000087706455,10.6000087706455,6.84240348472432E-08
10.6500088120164,10.6500088120164,7.90219630192476E-08
10.7000088533874,10.7000088533874,7.92967569630946E-08
10.7500088947584,10.7500088947584,1.22174736250282E-07
10.8000089361294,10.8000089361294,4.92454246038873E-08
10.8500089775003,10.8500089775003,1.19594926270619E-07
10.9000090188713,10.9000090188713,1.01963662508604E-07
10.9500090602423,10.9500090602423,7.23930689830124E-08
11.0000091016132,11.0000091016132,3.90245361128613E-08
11.0500091429842,11.0500091429842,6.47635155528156E-08
11.1000091843552,11.1000091843552,8.7612672210779E-08
11.1500092257261,11.1500092257261,1.28667226607849E-07
11.2000092670971,11.2000092670971,1.53632438973236E-07
11.2500093084681,11.2500093084681,8.10400940104533E-08
11.300009349839,11.300009349839,3.55321486558276E-08
11.35000939121,11.35000939121,1.0112611989897E-07
11.400009432581,11.400009432581,9.6947190623155E-08
11.450009473952,11.450009473952,2.58664594475679E-07
11.5000095153229,11.5000095153229,9.11300431783095E-08
11.5500095566939,11.5500095566939,2.50080039718166E-07
11.6000095980649,11.6000095980649,1.36298380902697E-08
11.6500096394358,11.6500096394358,1.83473453607994E-07
11.7000096808068,11.7000096808068,4.17881201424374E-08
11.7500097221778,11.7500097221778,8.68534749210205E-08
11.8000097635487,11.8000097635487,7.00541348571805E-08
11.8500098049197,11.8500098049197,9.93455365355085E-08
11.9000098462907,11.9000098462907,1.12677066680177E-07
11.9500098876616,11.9500098876616,1.79979331921779E-07
12.0000099290326,12.0000099290326,8.2661750579236E-08
12.0500099704036,12.0500099704036,4.90127083175971E-07
12.1000100117746,12.1000100117746,2.2567660686355E-08
12.1500100531455,12.1500100531455,2.30109301513023E-07
12.2000100945165,12.2000100945165,4.34007739499846E-08
12.2500101358875,12.2500101358875,3.40812426039418E-08
12.3000101772584,12.3000101772584,4.95172173258412E-08
12.3500102186294,12.3500102186294,8.50270641174218E-08
12.4000102600004,12.4000102600004,8.60841388143955E-08
12.4500103013713,12.4500103013713,3.12924952618099E-07
12.5000103427423,12.5000103427423,9.27327146187217E-08
12.5500103841133,12.5500103841133,1.76596055832926E-07
12.6000104254842,12.6000104254842,2.73282054716127E-08
12.6500104668552,12.6500104668552,1.03120050145662E-07
12.7000105082262,12.7000105082262,1.89573681070528E-08
12.7500105495972,12.7500105495972,2.30210093268167E-07
12.8000105909681,12.8000105909681,1.89821103951298E-07
12.8500106323391,12.8500106323391,2.15509409154087E-07
12.9000106737101,12.9000106737101,1.17973007098278E-07
12.950010715081,12.950010715081,5.92604996702183E-08
13.000010756452,13.000010756452,1.0847917500506E-07
13.050010797823,13.050010797823,2.95619681631216E-07
13.1000108391939,13.1000108391939,1.16127498830765E-07
13.1500108805649,13.1500108805649,3.37040415455085E-07
13.2000109219359,13.2000109219359,1.31078813896765E-07
13.2500109633068,13.2500109633068,2.42894627031863E-07
13.3000110046778,13.3000110046778,3.3754179360265E-08
13.3500110460488,13.3500110460488,1.9069562935033E-07
13.4000110874198,13.4000110874198,2.65006935798884E-08
13.4500111287907,13.4500111287907,1.31296499510401E-07
13.5000111701617,13.5000111701617,6.11452531559914E-08
13.5500112115327,13.5500112115327,2.47543674128533E-07
13.6000112529036,13.6000112529036,5.00786989057032E-08
13.6500112942746,13.6500112942746,9.51795726166788E-08
13.7000113356456,13.7000113356456,8.15069310220422E-09
13.7500113770165,13.7500113770165,7.07042928961598E-08
13.8000114183875,13.8000114183875,4.6180304048293E-08
13.8500114597585,13.8500114597585,8.55279534314471E-08
13.9000115011294,13.9000115011294,4.54693874665849E-08
13.9500115425004,13.9500115425004,2.11422222248828E-07
14.0000115838714,14.0000115838714,9.47657464573437E-08
14.0500116252424,14.0500116252424,3.47652072875698E-07
14.1000116666133,14.1000116666133,1.19941824574376E-07
14.1500117079843,14.1500117079843,1.04063773561499E-07
14.2000117493553,14.2000117493553,9.95807772491883E-08
14.2500117907262,14.2500117907262,2.92025754802581E-07
14.3000118320972,14.3000118320972,5.50358098124203E-08
14.3500118734682,14.3500118734682,3.70974156238697E-07
14.4000119148391,14.4000119148391,6.16742836806362E-08
14.4500119562101,14.4500119562101,4.66474251332984E-08
14.5000119975811,14.5000119975811,1.21318965531281E-07
14.550012038952,14.550012038952,2.09654486550778E-07
14.600012080323,14.600012080323,7.95977361722714E-08
14.650012121694,14.650012121694,3.32425344745179E-07
14.700012163065,14.700012163065,6.48814968799717E-08
14.7500122044359,14.7500122044359,3.27320239497538E-07
14.8000122458069,14.8000122458069,7.73889492705862E-08
14.8500122871779,14.8500122871779,1.67890878382538E-07
14.9000123285488,14.9000123285488,5.54743797340234E-08
14.9500123699198,14.9500123699198,8.10691724010706E-08
15.0000124112908,15.0000124112908,5.68775142101833E-08
15.0500124526617,15.0500124526617,4.01075284820075E-08
15.1000124940327,15.1000124940327,9.42532563188959E-08
15.1500125354037,15.1500125354037,1.71102141407914E-07
15.2000125767746,15.2000125767746,8.53246335509852E-08
15.2500126181456,15.2500126181456,4.42478932254106E-08
15.3000126595166,15.3000126595166,4.26089804291343E-08
15.3500127008876,15.3500127008876,1.06590508448953E-07
15.4000127422585,15.4000127422585,2.06942236165319E-08
15.4500127836295,15.4500127836295,1.13575437925979E-07
15.5000128250005,15.5000128250005,3.81219642830012E-08
15.5500128663714,15.5500128663714,2.61650019137064E-07
15.6000129077424,15.6000129077424,9.00577713488535E-08
15.6500129491134,15.6500129491134,1.68541469683819E-07
15.7000129904843,15.7000129904843,1.07412174356555E-07
15.7500130318553,15.7500130318553,6.36819765488126E-08
15.8000130732263,15.8000130732263,7.05627297066552E-08
15.8500131145972,15.8500131145972,2.74205716230401E-07
15.9000131559682,15.9000131559682,1.5942883891515E-08
15.9500131973392,15.9500131973392,1.91325279745603E-07
16.0000132387102,16.0000132387102,9.20861662560324E-08
16.0500132800811,16.0500132800811,6.13962859551041E-07
16.1000133214521,16.1000133214521,4.42374824097109E-08
16.1500133628231,16.1500133628231,3.6062808912126E-07
16.200013404194,16.200013404194,7.91557368728317E-08
16.250013445565,16.250013445565,3.77364041028058E-08
16.300013486936,16.300013486936,8.49543207720618E-08
16.3500135283069,16.3500135283069,1.69984347986619E-07
16.4000135696779,16.4000135696779,1.03124254500095E-07
16.4500136110489,16.4500136110489,1.39095964678467E-07
16.5000136524198,16.5000136524198,7.82858533279803E-08
